Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_CGPA,Sleep_Hours,Social_Hours_Week,Final_CGPA,Number_of_Subjects,Average_Score
ID00039,Female,23,Engineering,52.7,1.4,2.42,7.7,7,2.06,5,48.95
ID00040,Male,19,Computer Science,79.4,6.6,2.96,4.8,4,3.07,7,73.41
ID00041,Male,21,Business,99.7,4.8,2.96,4.1,10,3.05,4,75.55
ID00042,Male,23,Economics,79.2,11.9,1.87,8.0,9,2.38,7,71.86
ID00043,Male,21,Mathematics,100.0,2.7,3.37,6.5,7,3.76,7,80.87
ID00044,Female,24,Business,91.4,8.2,3.01,7.5,10,3.42,5,80.63
ID00045,Male,23,Psychology,90.1,3.9,3.69,6.2,4,3.97,4,83.51
ID00046,Female,19,Economics,83.1,2.4,3.21,7.8,8,3.62,8,67.61
ID00047,Male,18,Psychology,84.0,3.3,3.47,9.0,8,3.76,6,77.61
ID00048,Male,19,Computer Science,81.0,4.5,3.7,9.1,5,3.9,8,77.84
ID00049,Male,19,Psychology,80.5,3.1,3.03,6.0,7,3.43,7,71.26
ID00050,Male,18,Economics,93.0,2.0,3.1,6.4,9,3.5,7,76.51
ID00051,Female,18,Economics,71.0,2.4,2.31,7.3,6,2.2,7,53.95
ID00052,Female,20,Business,68.9,5.7,3.72,9.8,12,3.83,4,73.2
ID00053,Female,23,Engineering,68.2,2.2,3.03,5.3,10,2.73,5,61.47
ID00054,Female,24,Business,100.0,2.9,2.6,5.3,11,2.62,6,70.25
ID00055,Female,20,Computer Science,93.0,2.2,3.47,8.3,7,3.66,6,77.02
ID00056,Female,18,Psychology,89.6,4.9,2.01,6.0,7,2.4,4,60.58
ID00057,Male,21,Engineering,69.1,14.0,2.89,8.0,7,3.56,6,88.04
ID00058,Male,24,Mathematics,94.4,5.6,3.55,6.1,9,4.0,4,85.07
ID00059,Male,21,Economics,83.3,2.6,2.88,7.5,5,3.07,7,69.28
ID00060,Male,19,Engineering,88.2,4.9,2.74,6.2,8,3.14,7,72.28
ID00061,Male,22,Engineering,70.4,2.7,2.89,5.5,9,2.88,8,67.3
ID00062,Male,19,Business,87.4,4.7,2.1,7.2,2,2.39,7,61.2
ID00063,Female,19,Mathematics,78.6,9.1,3.46,5.2,8,3.61,5,88.14
ID00064,Male,22,Economics,73.5,4.1,3.04,7.7,4,2.92,8,67.45
ID00065,Male,23,Computer Science,96.0,5.1,2.96,6.6,16,2.92,6,73.1
ID00066,Male,18,Computer Science,61.9,4.2,2.97,5.0,6,2.97,5,69.83
ID00067,Male,21,Engineering,93.5,7.0,3.11,7.4,13,3.61,8,80.79
ID00068,Female,19,Engineering,95.3,6.1,3.43,7.4,7,3.75,5,85.6
ID00069,Male,22,Psychology,71.8,3.4,3.07,4.0,6,2.79,4,67.33
ID00070,Female,20,Mathematics,72.7,6.1,2.42,6.9,6,2.44,6,61.89
ID00071,Female,19,Economics,81.7,4.7,3.39,7.0,2,3.87,7,76.47
ID00072,Male,21,Engineering,89.2,3.2,3.35,7.1,9,3.5,4,79.07
ID00073,Male,18,Psychology,82.7,3.3,3.2,4.3,5,3.38,6,72.94
ID00074,Female,19,Mathematics,91.5,4.6,3.64,7.5,4,3.92,4,76.99
ID00075,Female,19,Economics,100.0,5.1,3.12,7.8,6,3.54,7,77.45
ID00076,Female,23,Computer Science,77.4,3.8,3.66,5.6,9,3.6,6,82.62
ID00077,Female,22,Psychology,59.3,5.1,3.8,4.9,4,3.7,5,76.63
ID00078,Male,20,Mathematics,97.4,2.6,3.39,5.5,5,3.68,5,70.76
ID00079,Male,20,Psychology,100.0,2.1,2.73,7.2,7,3.16,6,72.42
ID00080,Male,24,Engineering,90.9,1.5,3.03,5.1,6,3.19,7,69.43
ID00081,Female,18,Business,68.7,5.6,3.72,5.0,6,3.85,8,79.31
ID00082,Female,24,Computer Science,83.1,1.5,2.35,10.0,17,2.33,6,54.97
ID00083,Male,21,Engineering,68.2,5.1,2.9,7.0,6,2.82,4,70.37
ID00084,Male,18,Engineering,94.6,3.1,2.93,6.5,13,3.4,8,68.51
ID00085,Male,19,Mathematics,64.7,3.5,2.67,6.0,6,2.58,7,63.33
ID00086,Male,19,Psychology,80.5,3.5,3.54,6.4,8,3.95,7,77.43
ID00087,Female,20,Computer Science,69.9,13.7,3.29,9.7,10,3.83,4,90.85
ID00088,Female,21,Engineering,86.9,2.9,2.74,8.2,6,2.78,5,65.64
ID00089,Female,22,Mathematics,79.5,2.3,3.4,10.0,12,3.45,7,70.7
ID00090,Male,21,Computer Science,87.7,10.7,3.02,7.6,9,3.88,8,87.99
ID00091,Male,19,Psychology,85.3,1.7,2.65,5.6,8,2.85,6,58.57
ID00092,Female,22,Engineering,70.2,1.9,2.74,7.4,1,2.55,8,54.16
ID00093,Female,21,Economics,94.4,6.7,3.32,7.8,6,3.83,8,84.49
ID00094,Female,21,Engineering,84.3,5.2,3.57,7.9,2,3.92,5,82.46
ID00095,Female,22,Engineering,70.2,3.3,2.86,6.3,12,3.05,8,64.92
ID00096,Male,19,Computer Science,100.0,2.2,3.37,9.7,10,3.49,5,76.96
ID00097,Male,21,Computer Science,92.1,1.0,3.89,5.1,8,4.0,5,77.55
ID00098,Male,22,Computer Science,82.7,9.4,2.47,7.5,10,3.14,7,75.8
ID00099,Male,23,Computer Science,100.0,6.1,3.28,6.6,5,3.64,7,82.16
ID00100,Male,23,Mathematics,100.0,8.9,3.52,5.8,9,4.0,4,89.74
ID00101,Male,19,Business,82.8,7.4,3.05,7.4,10,3.53,8,76.5
ID00102,Female,22,Mathematics,90.2,5.4,3.72,8.9,8,3.99,4,90.56
ID00103,Male,23,Engineering,70.2,2.9,4.0,7.6,16,3.84,8,73.15
ID00104,Male,22,Mathematics,82.8,2.2,3.27,7.4,6,3.39,4,71.56
ID00105,Female,21,Psychology,82.0,7.8,2.98,4.0,9,3.38,7,72.04
ID00106,Male,19,Economics,87.8,3.1,3.59,8.4,8,3.6,7,77.19
ID00107,Male,23,Computer Science,90.0,2.2,3.52,6.4,11,3.68,7,74.0
ID00108,Female,24,Psychology,93.4,2.7,1.84,7.8,7,2.17,7,47.79
ID00109,Male,21,Economics,88.6,8.1,3.1,8.4,11,3.39,6,82.14
ID00110,Male,24,Psychology,66.8,2.4,2.9,7.3,15,2.78,7,60.23
ID00111,Male,24,Engineering,70.9,3.3,3.3,4.0,11,3.37,5,63.4
ID00112,Male,18,Computer Science,76.8,3.9,3.0,9.1,5,3.02,7,70.77
ID00113,Female,18,Psychology,80.8,4.7,3.06,9.7,8,3.17,6,75.98
ID00114,Female,19,Engineering,100.0,2.3,2.67,8.2,9,3.03,6,70.78
ID00115,Female,23,Computer Science,67.6,3.8,3.47,5.9,6,3.59,6,73.29
ID00116,Female,23,Business,79.6,6.8,3.93,8.8,8,3.88,6,87.68
ID00117,Female,23,Engineering,99.3,11.9,2.68,6.6,12,3.59,4,89.46
ID00118,Male,22,Mathematics,80.5,2.0,2.4,6.9,5,2.67,4,62.17
ID00119,Female,21,Computer Science,91.9,2.2,3.11,8.8,5,3.44,5,73.54
ID00120,Male,23,Psychology,82.9,2.4,3.09,8.0,6,3.55,4,65.19
ID00121,Female,21,Economics,88.9,5.9,3.69,4.0,9,4.0,6,85.37
ID00122,Female,19,Psychology,81.6,2.1,2.49,7.3,8,2.66,7,60.16
ID00123,Male,24,Mathematics,95.0,3.7,2.83,8.8,8,3.23,7,64.63
ID00124,Male,23,Mathematics,61.8,3.5,2.03,5.0,6,1.98,6,51.77
ID00125,Male,19,Psychology,79.6,12.5,3.79,8.5,11,4.0,8,100.0
ID00126,Male,23,Economics,89.4,2.9,3.23,4.5,4,3.41,6,74.48
ID00127,Female,18,Computer Science,93.0,2.8,2.87,6.7,8,3.12,4,72.73
ID00128,Female,20,Engineering,100.0,5.9,2.44,7.8,6,3.06,7,70.9
ID00129,Male,19,Mathematics,79.1,4.9,2.48,6.6,6,2.7,6,63.46
ID00130,Male,23,Mathematics,100.0,2.7,3.31,8.8,11,3.31,7,77.06
ID00131,Male,20,Mathematics,75.1,8.4,2.55,4.9,3,2.52,6,68.19
ID00132,Male,19,Economics,100.0,1.6,3.15,8.2,10,3.11,6,68.62
ID00133,Male,22,Business,97.3,4.0,4.0,7.1,9,4.0,4,91.12
ID00134,Male,23,Economics,71.3,3.4,2.93,5.7,4,2.98,6,69.03
ID00135,Female,22,Computer Science,89.6,3.8,2.62,7.7,13,2.97,7,63.05
ID00136,Male,18,Computer Science,84.2,2.7,3.29,6.9,7,3.59,5,74.59
ID00137,Male,23,Computer Science,94.4,3.8,2.49,9.2,11,2.63,7,65.18
ID00138,Female,24,Computer Science,81.7,4.6,3.96,7.9,6,4.0,4,85.09
ID00139,Male,18,Computer Science,80.4,0.7,3.8,7.6,9,3.89,5,75.13
ID00140,Female,20,Psychology,100.0,3.1,3.02,6.0,5,3.23,6,75.71
ID00141,Female,19,Mathematics,83.5,2.5,2.65,7.2,6,2.88,8,62.56
ID00142,Male,21,Economics,97.4,10.3,2.89,6.1,7,3.37,5,88.92
ID00143,Male,18,Psychology,81.6,5.3,2.95,6.9,5,3.55,5,72.49
ID00144,Male,21,Economics,100.0,2.4,3.29,8.9,11,3.63,6,76.91
ID00145,Male,21,Business,74.8,3.0,3.62,6.6,6,3.74,8,71.98
ID00146,Male,19,Engineering,75.8,3.4,2.58,4.8,9,2.53,8,67.7
ID00147,Female,20,Mathematics,100.0,2.9,3.61,7.7,10,4.0,4,81.85
ID00148,Male,19,Business,78.3,5.5,3.41,8.2,9,3.62,5,79.6
ID00149,Male,23,Psychology,100.0,9.3,2.85,9.4,11,3.28,8,77.96
ID00150,Male,18,Engineering,98.4,0.4,2.56,8.3,10,2.58,4,58.13
ID00151,Female,21,Business,82.7,3.3,3.16,6.6,8,3.57,8,74.44
ID00152,Male,19,Economics,57.8,11.9,2.57,7.4,15,2.77,5,74.45
ID00153,Male,19,Engineering,84.7,3.4,3.61,7.6,3,4.0,8,71.87
ID00154,Male,19,Economics,86.5,4.7,2.54,7.7,8,2.86,5,69.06
ID00155,Female,18,Business,100.0,0.8,3.37,4.0,7,3.38,6,71.31
ID00156,Male,20,Psychology,100.0,8.3,3.06,6.1,6,3.66,7,87.91
ID00157,Female,24,Economics,74.7,2.0,2.82,7.7,4,2.63,4,61.19
ID00158,Female,19,Engineering,97.0,5.2,3.05,8.6,8,3.18,6,77.2
ID00159,Male,18,Business,96.5,2.2,3.64,6.0,9,3.8,6,82.11
ID00160,Female,21,Economics,100.0,0.5,2.5,6.4,3,2.54,7,57.68
ID00161,Male,23,Psychology,92.5,4.9,2.89,6.6,7,3.09,8,69.68
ID00162,Female,24,Mathematics,55.9,6.2,2.72,6.8,7,2.69,7,63.19
ID00163,Female,22,Psychology,82.7,3.9,3.08,8.3,9,3.34,6,73.31
ID00164,Male,24,Psychology,67.7,1.8,2.76,5.9,10,2.67,6,54.48
ID00165,Male,24,Mathematics,82.0,13.2,2.22,8.3,8,2.8,6,72.42
ID00166,Female,18,Psychology,99.7,6.0,2.57,9.1,9,2.82,8,74.73
ID00167,Male,22,Mathematics,89.6,4.5,3.92,6.4,5,4.0,5,83.49
ID00168,Male,19,Mathematics,100.0,7.6,3.22,6.4,4,3.95,4,83.3
ID00169,Male,19,Economics,90.1,2.9,3.21,7.2,11,3.35,5,66.89
ID00170,Female,24,Economics,65.5,10.9,2.96,6.1,6,3.19,4,76.84
ID00171,Female,18,Mathematics,47.2,6.1,3.07,6.9,7,2.97,4,66.19
ID00172,Male,22,Business,87.2,7.2,2.89,4.8,5,3.23,4,78.73
ID00173,Male,19,Engineering,81.8,3.3,3.36,8.3,6,3.73,7,70.94
ID00174,Male,21,Business,70.3,2.0,3.15,9.5,10,3.13,7,69.86
ID00175,Female,20,Mathematics,59.5,4.5,2.51,6.0,2,2.43,7,56.33
ID00176,Male,20,Engineering,74.0,3.0,3.23,4.5,7,3.22,6,66.86
ID00177,Female,19,Economics,82.1,11.6,1.87,8.4,14,2.35,7,74.05
ID00178,Male,22,Engineering,95.0,1.6,3.31,6.4,3,3.37,4,73.1
ID00179,Female,23,Mathematics,87.8,8.7,2.4,6.0,11,2.81,8,70.69
ID00180,Male,19,Economics,100.0,1.2,3.05,6.8,5,3.38,6,68.87
ID00181,Male,23,Engineering,69.5,2.2,2.5,5.2,8,2.42,8,60.21
ID00182,Male,23,Engineering,98.2,1.2,3.1,7.7,5,3.5,4,73.97
ID00183,Female,22,Business,85.7,2.9,3.39,5.1,10,3.64,6,71.39
ID00184,Female,23,Engineering,95.4,3.6,3.85,5.2,10,3.98,7,83.86
ID00185,Male,21,Mathematics,78.5,2.7,2.33,5.2,12,2.05,6,57.33
ID00186,Female,22,Computer Science,100.0,5.2,3.59,7.2,6,3.95,6,81.8
ID00187,Female,19,Computer Science,89.4,3.6,3.17,4.3,7,3.28,4,72.97
ID00188,Female,24,Computer Science,74.8,0.9,2.87,10.0,11,2.72,5,59.98
ID00189,Male,21,Mathematics,84.8,2.1,3.48,6.4,4,3.57,5,76.67
ID00190,Male,18,Computer Science,81.4,3.3,2.98,4.0,9,3.3,5,71.55
ID00191,Male,20,Business,92.3,7.4,3.46,5.4,12,3.96,7,84.46
ID00192,Female,19,Mathematics,67.3,4.3,2.6,7.9,11,2.76,7,60.53
ID00193,Female,19,Economics,84.6,3.0,2.78,9.0,10,3.17,7,67.37
ID00194,Female,19,Mathematics,90.9,1.5,3.57,7.2,5,3.86,5,73.06
ID00195,Male,21,Mathematics,85.5,4.5,3.84,7.1,5,4.0,8,84.94
ID00196,Male,18,Engineering,100.0,8.4,3.08,4.7,9,3.38,4,83.89
ID00197,Female,24,Engineering,96.6,3.4,1.71,9.2,11,2.11,5,51.55
ID00198,Female,22,Engineering,84.9,2.3,3.0,7.8,10,3.15,4,64.2
ID00199,Female,18,Psychology,88.3,5.6,3.12,7.5,10,3.55,5,80.52
ID00200,Female,21,Business,89.4,7.6,2.98,7.0,11,3.69,8,78.06
ID00201,Female,19,Mathematics,91.0,3.6,3.27,7.8,6,3.47,5,79.83
ID00202,Male,20,Mathematics,57.6,6.0,2.86,5.8,7,2.42,8,64.18
ID00203,Male,19,Engineering,80.5,3.1,3.52,8.4,9,3.64,6,75.6
ID00204,Female,22,Mathematics,62.7,6.2,2.52,8.2,3,2.44,7,69.9
ID00205,Female,23,Economics,100.0,8.6,3.72,6.9,10,4.0,6,90.18
ID00206,Male,20,Mathematics,84.1,6.7,3.88,6.6,3,4.0,5,82.08
ID00207,Male,19,Computer Science,82.1,5.5,2.64,4.0,8,2.79,7,71.68
ID00208,Female,24,Economics,98.5,10.2,2.64,4.4,5,3.36,8,78.84
ID00209,Male,20,Economics,91.3,3.5,3.31,7.8,13,3.45,5,75.28
ID00210,Male,23,Mathematics,68.1,5.5,2.51,8.4,15,2.44,7,60.78
ID00211,Male,18,Psychology,83.9,3.5,2.85,8.6,7,2.97,5,67.97
ID00212,Female,21,Engineering,80.0,5.5,3.65,5.0,5,3.78,7,78.34
ID00213,Female,19,Business,58.8,6.1,3.47,10.0,10,3.09,7,74.07
ID00214,Male,22,Business,74.6,7.0,4.0,8.5,7,4.0,6,89.0
ID00215,Female,18,Computer Science,82.2,4.2,3.19,6.1,6,3.37,7,69.79
ID00216,Male,19,Business,83.3,1.1,2.79,7.2,6,2.8,5,59.29
ID00217,Male,18,Business,62.8,3.6,3.13,4.5,6,3.11,4,64.9
ID00218,Female,22,Engineering,100.0,5.9,3.02,6.1,11,3.3,4,74.04
ID00219,Female,19,Engineering,83.5,4.9,3.03,7.8,9,3.37,6,71.07
ID00220,Female,23,Psychology,85.6,5.3,3.09,7.1,14,3.31,8,74.84
ID00221,Female,23,Computer Science,91.0,6.3,2.63,9.6,14,2.94,4,70.31
ID00222,Female,22,Business,73.2,1.9,3.24,4.8,9,3.01,6,65.84
ID00223,Male,20,Psychology,91.8,6.5,2.4,6.8,4,2.92,7,68.89
ID00224,Male,22,Computer Science,79.5,10.5,2.74,5.3,10,3.01,5,76.58
ID00225,Male,20,Economics,71.6,3.3,3.04,9.3,8,3.03,7,68.37
ID00226,Male,19,Business,93.6,7.0,1.97,7.4,9,2.64,5,68.8
ID00227,Female,20,Business,100.0,4.3,3.48,7.0,10,3.96,8,80.06
ID00228,Male,19,Engineering,95.9,5.2,2.07,6.8,9,2.65,6,64.29
ID00229,Female,19,Mathematics,98.8,6.7,3.43,5.7,12,3.64,6,84.54
ID00230,Female,24,Computer Science,77.2,4.9,2.45,8.8,4,2.64,4,63.88
ID00231,Female,21,Business,61.0,3.1,2.9,7.3,16,2.53,6,66.02
ID00232,Male,19,Computer Science,100.0,5.0,3.36,7.4,3,3.67,8,82.73
ID00233,Female,20,Psychology,100.0,2.3,4.0,7.9,3,4.0,4,79.28
ID00234,Male,21,Psychology,100.0,1.5,3.16,5.7,11,3.4,7,72.81
ID00235,Male,21,Mathematics,80.0,0.8,2.11,10.0,3,2.38,6,54.31
ID00236,Female,19,Business,67.7,8.9,3.58,9.4,10,3.8,7,83.29
ID00237,Male,22,Engineering,69.0,5.4,2.98,6.9,8,2.96,7,72.01
ID00238,Male,22,Business,59.7,6.1,3.13,6.5,7,2.87,6,68.09
ID00239,Female,23,Computer Science,83.4,4.7,3.38,8.0,12,3.73,5,72.27
ID00240,Male,21,Economics,100.0,1.2,1.99,8.7,5,2.05,7,55.19
ID00241,Female,19,Psychology,82.9,8.6,3.1,9.6,7,3.48,4,75.28
ID00242,Female,24,Computer Science,89.5,3.1,2.9,8.0,7,3.35,6,67.73
ID00243,Female,22,Mathematics,100.0,0.8,3.71,7.2,12,3.81,4,81.47
ID00244,Male,24,Psychology,78.9,3.5,3.46,7.2,8,3.52,7,68.57
ID00245,Male,19,Engineering,100.0,8.0,2.29,4.2,17,2.43,7,68.65
ID00246,Female,19,Psychology,100.0,2.3,3.73,6.4,9,4.0,4,77.79
ID00247,Male,21,Economics,83.0,3.4,3.32,7.5,9,3.69,7,73.01
ID00248,Female,24,Business,76.3,3.2,2.33,4.0,9,2.17,6,56.42
ID00249,Female,23,Economics,95.5,2.2,3.13,7.3,7,3.45,7,75.51
ID00250,Female,21,Economics,79.8,4.4,3.62,5.8,5,3.52,4,81.39
ID00251,Male,18,Business,67.7,2.4,2.49,9.4,6,2.2,4,57.45
ID00252,Male,24,Psychology,100.0,8.8,3.79,6.6,8,4.0,6,95.15
ID00253,Female,22,Mathematics,100.0,1.4,2.34,6.6,11,2.7,4,61.15
ID00254,Male,22,Business,87.3,1.8,2.7,6.8,7,3.1,5,59.96
ID00255,Male,22,Business,66.1,3.4,2.63,7.0,14,2.67,7,62.06
ID00256,Female,20,Engineering,66.6,4.1,3.79,8.2,10,3.82,4,73.63
ID00257,Female,19,Psychology,86.6,2.7,2.85,6.5,9,3.18,7,68.74
ID00258,Female,21,Business,77.5,6.3,2.52,7.0,9,2.81,4,70.18
ID00259,Female,22,Mathematics,79.9,3.6,3.32,8.2,10,3.09,4,73.46
ID00260,Male,18,Computer Science,100.0,5.6,3.43,7.0,6,3.82,6,82.83
ID00261,Female,22,Psychology,96.0,8.5,3.43,8.0,9,3.91,7,89.36
ID00262,Female,23,Engineering,100.0,10.1,2.96,6.3,10,3.42,4,77.32
ID00263,Male,19,Economics,70.1,3.4,3.23,7.5,3,3.38,5,69.64
ID00264,Male,24,Business,79.9,4.3,2.77,9.0,12,2.59,8,66.32
ID00265,Female,19,Mathematics,96.4,4.9,3.94,7.9,8,4.0,8,87.92
ID00266,Female,24,Psychology,91.7,3.5,3.67,4.2,9,4.0,6,82.51
ID00267,Female,24,Mathematics,100.0,2.1,3.64,7.8,12,3.98,6,79.03
ID00268,Female,21,Mathematics,91.3,7.3,3.5,5.3,12,3.94,5,82.13
ID00269,Male,20,Economics,100.0,2.1,3.36,5.6,4,3.44,7,74.98
ID00270,Male,24,Engineering,93.1,7.7,2.48,7.7,5,3.02,6,72.98
ID00271,Female,24,Psychology,100.0,5.3,3.42,5.5,5,3.56,5,82.97
ID00272,Female,21,Business,80.1,4.8,3.16,5.3,8,3.54,4,73.56
ID00273,Female,22,Engineering,85.2,2.5,3.73,7.0,12,3.9,4,80.71
ID00274,Female,23,Business,98.7,1.0,3.5,6.1,4,3.69,8,71.54
ID00275,Male,18,Computer Science,100.0,7.2,3.38,4.6,7,3.63,6,86.4
ID00276,Male,21,Mathematics,95.9,2.5,2.26,7.8,6,2.62,6,63.92
ID00277,Female,20,Computer Science,83.8,5.5,3.06,8.5,9,3.54,6,68.82
ID00278,Female,21,Mathematics,100.0,5.7,2.82,8.4,5,3.14,7,75.71
ID00279,Female,19,Economics,52.1,4.1,3.23,5.7,11,2.72,4,63.88
ID00280,Female,22,Engineering,63.7,4.8,2.89,7.6,6,3.16,4,64.15
ID00281,Female,22,Business,95.2,5.3,2.96,6.3,11,3.35,5,72.39
ID00282,Male,24,Economics,85.2,4.6,3.33,5.1,3,3.44,6,75.78
ID00283,Male,22,Business,94.1,2.4,2.88,5.9,6,2.93,7,73.45
ID00284,Male,22,Engineering,86.0,1.4,3.16,4.0,7,3.13,6,63.96
ID00285,Female,22,Psychology,93.6,2.7,2.34,5.4,7,2.4,6,57.47
ID00286,Male,22,Computer Science,72.8,3.2,2.68,4.8,9,2.45,8,57.54
ID00287,Male,18,Computer Science,93.6,8.7,3.43,7.3,8,4.0,4,93.14
ID00288,Male,20,Business,99.9,1.8,2.48,7.4,10,2.6,6,61.29
ID00289,Male,24,Business,100.0,9.4,3.72,4.5,4,4.0,6,94.87
ID00290,Female,22,Business,100.0,11.1,3.59,8.2,5,4.0,6,95.35
ID00291,Male,24,Engineering,88.7,2.7,2.97,6.1,4,3.33,8,65.58
ID00292,Male,20,Psychology,89.1,10.9,4.0,5.4,4,4.0,5,98.37
ID00293,Female,23,Computer Science,62.2,3.7,3.72,4.3,7,3.84,8,81.47
ID00294,Male,22,Economics,77.0,3.4,2.63,5.8,6,2.58,5,66.39
ID00295,Male,24,Mathematics,82.1,8.7,3.47,6.8,7,4.0,6,83.08
ID00296,Male,21,Engineering,100.0,4.7,3.13,8.5,8,3.37,6,79.38
ID00297,Female,24,Computer Science,75.8,4.3,2.71,6.8,12,2.75,8,62.32
ID00298,Male,22,Psychology,96.9,2.7,2.57,6.5,9,2.7,6,59.63
ID00299,Female,19,Engineering,85.0,2.8,3.6,7.9,2,3.96,5,79.41
ID00300,Male,18,Economics,82.3,4.3,2.8,7.2,6,3.07,4,71.16
ID00301,Male,21,Computer Science,88.7,8.7,3.05,4.7,10,3.37,5,84.65
ID00302,Male,21,Engineering,79.1,1.8,2.64,6.3,12,2.42,8,58.27
ID00303,Male,19,Computer Science,78.6,3.9,2.73,6.1,4,2.86,4,64.49
ID00304,Female,22,Computer Science,59.4,1.6,3.04,6.8,6,2.56,8,62.1
ID00305,Female,18,Psychology,81.3,2.6,3.29,6.3,10,3.68,6,71.94
ID00306,Female,21,Mathematics,77.8,6.0,1.81,5.8,9,2.02,4,55.16
ID00307,Male,18,Psychology,77.3,2.3,3.11,9.2,5,2.91,5,61.83
ID00308,Male,21,Computer Science,91.3,7.5,2.73,6.9,9,3.37,6,75.7
ID00309,Female,22,Engineering,94.9,2.2,3.8,7.7,8,4.0,5,83.61
ID00310,Male,23,Economics,88.5,2.9,4.0,6.8,10,4.0,4,79.33
ID00311,Male,21,Psychology,99.9,1.1,2.92,8.2,3,2.95,7,69.24
ID00312,Male,23,Mathematics,93.6,7.5,2.24,6.9,7,2.94,7,70.19
ID00313,Male,21,Computer Science,80.6,6.9,3.16,8.5,7,3.75,4,79.65
ID00314,Female,20,Economics,78.1,1.6,3.0,4.0,7,2.78,5,66.59
ID00315,Female,22,Psychology,89.7,3.4,4.0,7.1,14,4.0,5,82.14
ID00316,Female,19,Psychology,93.6,3.2,3.93,7.4,7,4.0,7,78.99
ID00317,Male,23,Psychology,100.0,3.0,3.53,7.5,7,3.86,7,77.94
ID00318,Male,19,Psychology,100.0,11.2,2.81,5.4,8,3.62,7,88.7
ID00319,Male,22,Economics,76.9,3.0,3.44,5.9,5,3.46,8,70.9
ID00320,Male,24,Engineering,83.5,2.3,3.23,5.4,7,3.53,7,67.81
ID00321,Male,19,Mathematics,95.1,1.2,3.22,7.7,12,3.52,5,64.99
ID00322,Female,22,Mathematics,100.0,2.4,2.32,8.4,4,2.43,4,66.96
